id,viewCount,likeCount,dislikeCount,commentCount,likeRatio %,commentRatio %
K2-iji7PE5I,65,3,0,3,100.0,4.6154
k6lUyzVOpK4,2931,191,13,34,93.6,1.1600
41VeJREZsN4,10505,216,40,45,84.4,0.4284
HASd6ga2ivo,4230,107,3,14,97.3,0.3310
K6lgRrX8Gjo,7342,360,4,31,98.9,0.4222
At-0Ylnj4JY,1839,101,4,19,96.2,1.0332
Wu86NjgKZec,79634,422,19,75,95.7,0.0942
pCpNcPlNS4c,20973,1007,14,97,98.6,0.4625
yPvY2hXX7jo,1718,66,3,27,95.7,1.5716
6cSQG3PXfe0,1150,83,4,71,95.4,6.1739
t9lW5n_U8VA,23599,715,26,70,96.5,0.2966
zeYIZQ2grq0,139873,3204,46,423,98.6,0.3024
LP26wVIM82M,3227,123,2,22,98.4,0.6817
gSmp25oSeaQ,1111,0,8,2,0.0,0.1800
e-ehJFIQ06Y,624,58,4,22,93.5,3.5256
uj-kHL9q37Y,660,6,0,2,100.0,0.3030
bkq72xZGOfc,20140,176,19,56,90.3,0.2781
fSrBirMrVOQ,7274,424,3,36,99.3,0.4949
zyBYg6Gqp2o,47804,1301,136,151,90.5,0.3159
P_Exkej4BeE,143620,4400,90,232,98.0,0.1615
wmkBIczrCeA,1130,52,3,28,94.5,2.4779
RI8yIrWoMH8,1189,61,0,8,100.0,0.6728
4-cryzx04qA,1986,187,1,29,99.5,1.4602
Kx4dBTyJiz8,1063,57,3,24,95.0,2.2578
eUxgphuHPMU,34329,1847,34,176,98.2,0.5127
dKParheu5hg,149,4,0,0,100.0,0.0000
24tZ7uowPpM,114,7,0,0,100.0,0.0000
kuDzlPg-Cxc,128772,2721,66,143,97.6,0.1110
sl5yB6R3fRw,11424,805,21,103,97.5,0.9016
DyKvz5dT0EI,813,79,0,32,100.0,3.9360
ZLQPYFYmaAY,401,4,0,0,100.0,0.0000
Ao0nwmglriM,5283,156,12,20,92.9,0.3786
KVuf0kIrmT0,1001,28,2,7,93.3,0.6993
AKetSWsVQE0,226741,3808,184,561,95.4,0.2474
-jpZmrqMLlY,134956,3202,142,301,95.8,0.2230
7OVijiIihdc,70270,224,17,0,92.9,0.0000
