id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
RJfs7pTwuIA,86891,3477.0,33.0,0,219.0
V03-w-eR16E,96471,606.0,118.0,0,93.0
0mp2H_Byw_M,3146,175.0,0.0,0,79.0
xSBdoEd8GCY,5700,293.0,5.0,0,15.0
E9Z6T5qdFP0,89383,1513.0,170.0,0,189.0
0-N-5kEzTsw,70048,836.0,21.0,0,87.0
eAVScPhNSDs,505855,15513.0,438.0,0,517.0
PGeM2hlCQMg,14052,338.0,15.0,0,34.0
Lsr-o0hCI2s,76027,2772.0,20.0,0,474.0
rAdLN8ruohw,7309,213.0,7.0,0,37.0
vECs3TsGD-s,4493,151.0,2.0,0,46.0
RQDvnfleST0,644360,4554.0,106.0,0,
lzlf00gHNkU,67991,2363.0,21.0,0,
czvRxrbiE0g,4821,199.0,5.0,0,33.0
EHy7kh8Am3Q,197713,7586.0,44.0,0,480.0
5EKC8wjLE7o,93810,5624.0,107.0,0,462.0
f3Bu6tOTrXY,6006,277.0,1.0,0,24.0
Ft-l0GlHOpg,96188,722.0,27.0,0,150.0
m2i6DaLOsNw,25473,110.0,19.0,0,39.0
RGN_NYB-Cfg,9749,561.0,10.0,0,19.0
AQFn2z9vxj8,7826,238.0,8.0,0,52.0
OdnFSUwmjcQ,8,118.0,0.0,0,2.0
_JVSu2If8dU,57101,1009.0,43.0,0,203.0
i80UpTG5n9M,107447,2553.0,49.0,0,268.0
ywSAzVAnW4s,19098,108.0,11.0,0,36.0
LI3YnQCMVSE,232237,6443.0,194.0,0,326.0
Vr9A2oVy570,578940,7546.0,221.0,0,147.0
B54Gh7lT3-Y,3587,138.0,0.0,0,19.0
dOI-NfKfo7c,49146,36.0,115.0,0,
59MSSKWjLkM,32961,1932.0,9.0,0,100.0
h0VplwfWef0,234471,5200.0,125.0,0,566.0
8tWGXSjbZJE,7574,295.0,3.0,0,25.0
JG2YcDlPUps,134626,4000.0,83.0,0,373.0
ppFubdc5EKQ,14083,315.0,10.0,0,50.0
z19qZqHWYFI,242144,5367.0,241.0,0,212.0
zVGf2GIiEyk,211,4.0,0.0,0,0.0
kPzCib0ssdQ,103378,3872.0,83.0,0,322.0
2XgAHx_IubY,2418,118.0,1.0,0,22.0
kxB6-fB9kKM,7600,218.0,5.0,0,34.0
l3XUCJnt7Gg,532,49.0,0.0,0,14.0
wP2eBeRmJvs,4351,115.0,8.0,0,11.0
a9pd-y_aEF0,25459,1584.0,31.0,0,124.0
hY4iv7vomS4,5757,99.0,3.0,0,17.0
JGRpQGXogdQ,103450,447.0,38.0,0,72.0
LP26wVIM82M,3185,123.0,2.0,0,22.0
cqSm3G6Q718,3527,167.0,2.0,0,54.0
jCa-g0XvOaA,69299,1284.0,28.0,0,56.0
K3WUdH7KCOc,2788,39.0,8.0,0,4.0
9gh5WXUIwo4,3137,167.0,3.0,0,12.0
GIOOUlNhy2M,57542,2403.0,11.0,0,192.0
v_BfbXhyawI,9926,503.0,10.0,0,33.0
39aDN8rpSpQ,878768,35365.0,186.0,0,1613.0
oB3abUVnnf8,98903,4444.0,46.0,0,400.0
q8znkD0G4CA,33301,2524.0,20.0,0,161.0
mW6z8u8sXLc,145744,4392.0,173.0,0,342.0
ZUlXZyC6JZs,623049,24080.0,123.0,0,1357.0
HRXXBEjGC0M,324526,7677.0,397.0,0,468.0
OBp8IULQxiI,57391,1744.0,85.0,0,108.0
k9mFsUha7qc,99754,2301.0,25.0,0,93.0
s4CFLYU1mvU,1835,63.0,1.0,0,19.0
dGs5wJ9zblo,65468,1356.0,51.0,0,110.0
LakqVfLZO5w,8313,172.0,14.0,0,19.0
kr9bbQX_pAE,133405,4790.0,97.0,0,408.0
rG68rRYrt1Q,9592,306.0,6.0,0,58.0
VSSAjYuHOfY,3250,216.0,5.0,0,35.0
AH6q4Wg_1Fw,1190,49.0,1.0,0,17.0
