id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
ZmCIzHKuq6A,1813,112.0,1.0,0,16.0
hWRs0NDcn1w,1721,91.0,2.0,0,74.0
fW0Skr8SuyQ,36044,1046.0,18.0,0,32.0
uyuUHy5vq7M,520,39.0,2.0,0,16.0
AwzsOv4r4_E,14219,244.0,6.0,0,30.0
HVHfFHpRu0U,111030,3916.0,82.0,0,541.0
602Ferj9pyQ,428,39.0,0.0,0,3.0
Ao0nwmglriM,5272,156.0,12.0,0,20.0
VV0jBsEfz0c,10711,73.0,5.0,0,14.0
yb_LciAvR3Q,374,6.0,1.0,0,0.0
xrzgleKplAE,3452,55.0,0.0,0,13.0
4QAwUv-hbs0,553,22.0,1.0,0,6.0
gSmp25oSeaQ,1111,0.0,8.0,0,2.0
ubkPGaCS0Nk,37945,192.0,8.0,0,81.0
lYMgI7OxeXw,4618,188.0,6.0,0,8.0
rM2-Ir_X0DU,89938,1641.0,42.0,0,177.0
4_De_ZS71Xs,573,45.0,0.0,0,20.0
qhna7SC7kuo,1804144,99060.0,1720.0,0,3642.0
sqFJfdms-tM,535,27.0,0.0,0,7.0
fmt2SrKnOcI,3016,164.0,3.0,0,15.0
K2-iji7PE5I,39,3.0,0.0,0,3.0
wmkBIczrCeA,1105,49.0,2.0,0,28.0
u1zTug608Hg,38109,622.0,16.0,0,0.0
xHNJahvINwQ,201581,5008.0,180.0,0,199.0
EII_s7dYrXY,15400,967.0,26.0,0,172.0
pCpNcPlNS4c,13345,726.0,9.0,0,83.0
PmkV22wNT_k,191377,5956.0,75.0,0,453.0
rjg2LqqcZ5Y,21464,314.0,6.0,0,38.0
zfv2H7W9c-M,134593,817.0,69.0,0,267.0
gAV68PGO5ZM,98073,889.0,83.0,0,92.0
pw540N1pNZY,5656,43.0,1.0,0,7.0
LIpYEvWeF78,576,115.0,0.0,0,55.0
uDZvQ8Y0Ar0,13893,169.0,3.0,0,16.0
nFdc16BXlWA,824,99.0,0.0,0,16.0
8HzJHv8xqDk,33,8.0,0.0,0,0.0
CpRpCu4TuYI,15574,792.0,16.0,0,116.0
K6lgRrX8Gjo,7294,360.0,4.0,0,31.0
d15ba2xZzZc,46249,1046.0,124.0,0,139.0
jBauBeDNkls,144,8.0,0.0,0,9.0
okANKdshah0,99,0.0,0.0,0,0.0
m_ZZqYCxAJg,22,7.0,0.0,0,0.0
qlObH-DFiKk,419,13.0,0.0,0,3.0
cKGtZdfzkB4,627,10.0,0.0,0,1.0
Nhcz1uSFWG0,8959,540.0,30.0,0,27.0
Z8PuS9TyKwY,67876,410.0,6.0,0,65.0
J8g1HaN_CdY,21916,217.0,12.0,0,13.0
IB8KQYwn-rk,12238,433.0,6.0,0,37.0
XGzDkRi0JbE,3054,101.0,2.0,0,28.0
VLH6Tc6BwWM,44801,222.0,21.0,0,18.0
6sEV-SUHuTg,2077,163.0,3.0,0,7.0
7-mMW2vyC6s,52505,2514.0,88.0,0,157.0
eKWHVnsJRlA,83578,451.0,83.0,0,38.0
woC1deCtySk,48265,325.0,8.0,0,48.0
P86N1gPy0mU,19851,449.0,33.0,0,49.0
fEBl8Njx8BQ,2573,113.0,5.0,0,23.0
w779V5np5pg,7135,151.0,15.0,0,64.0
HPcPgkstKRI,64547,165.0,37.0,0,49.0
mF2e3XdONwk,9903,376.0,7.0,0,37.0
OmyNYNYRe30,47626,158.0,21.0,0,26.0
6nHrd3Ihpe8,54857,759.0,51.0,0,60.0
GWK9U_ToJdg,2365,87.0,0.0,0,18.0
e5OCkPD44FM,26510,304.0,9.0,0,24.0
wF-gYTkkxcE,7044,43.0,8.0,0,13.0
